plate,method,dark_threshold,light_threshold,n_total,n_empty,n_small,n_nonempty,min,p5,p25,p50,p75,p95,max,mean
20231012_99-M1_1min-1min,global_min_3s,17.249313354492188,25.001962661743164,384,1,0,383,11,17.0,22.5,25.0,27.0,30.0,33,24.548302872062663
20231012_99-M1_1min-1min,global_mean_3s,17.249313354492188,25.001962661743164,384,1,0,383,20,24.0,30.0,32.0,35.0,41.0,48,32.45691906005222
20231012_99-M1_1min-1min,global_min_5s,24.932048797607422,36.563236236572266,384,1,0,383,9,15.0,20.0,22.0,23.0,26.0,30,21.39164490861619
20231012_99-M1_1min-1min,per_ts_3s,17.219112396240234,27.873193740844727,384,1,0,383,11,17.0,23.0,25.0,27.0,30.0,34,24.757180156657963
20231012_99-M1_1min-1min,per_ts_5s,24.680377960205078,40.16960906982422,384,1,0,383,9,15.0,20.0,22.0,23.0,26.0,30,21.300261096605745
20231016_99-M5_10min-10min,global_min_3s,18.472240447998047,26.794506072998047,384,1,0,383,9,13.100000000000001,22.0,28.0,33.0,38.0,43,27.117493472584858
20231016_99-M5_10min-10min,global_mean_3s,18.472240447998047,26.794506072998047,384,1,0,383,13,24.0,36.0,44.0,51.0,58.0,64,43.052219321148826
20231016_99-M5_10min-10min,global_min_5s,26.761550903320312,39.24313735961914,384,1,0,383,5,9.0,15.0,20.0,25.0,30.0,35,19.81201044386423
20231016_99-M5_10min-10min,per_ts_3s,17.22742462158203,29.113174438476562,384,1,0,383,9,13.0,22.0,29.0,33.0,39.0,44,27.60313315926893
20231016_99-M5_10min-10min,per_ts_5s,24.69725799560547,42.47357940673828,384,1,0,383,6,9.0,15.5,21.0,25.0,30.899999999999977,33,20.24804177545692
20231018_2-M1_1min-1min,global_min_3s,17.613012313842773,25.90045738220215,384,19,2,365,1,8.2,21.0,33.0,40.0,47.0,53,30.2986301369863
20231018_2-M1_1min-1min,global_mean_3s,17.613012313842773,25.90045738220215,384,19,0,365,8,16.4,35.0,49.0,57.0,65.0,75,45.61369863013699
20231018_2-M1_1min-1min,global_min_5s,25.603605270385742,38.18669891357422,384,22,5,362,1,7.0,15.0,24.0,31.0,36.0,40,22.831491712707184
20231018_2-M1_1min-1min,per_ts_3s,17.38776969909668,29.109676361083984,384,19,3,365,1,8.2,21.0,33.0,40.0,46.0,52,30.257534246575343
20231018_2-M1_1min-1min,per_ts_5s,25.064273834228516,43.04976272583008,384,22,7,362,1,7.0,15.0,24.0,31.75,36.0,41,22.908839779005525
20231020_2-M3_20h_HL,global_min_3s,19.22278594970703,25.217660903930664,384,19,0,365,10,24.0,35.0,45.0,53.0,61.0,73,43.8986301369863
20231020_2-M3_20h_HL,global_mean_3s,19.22278594970703,25.217660903930664,384,19,0,365,18,35.2,49.0,60.0,72.0,83.0,98,60.23561643835617
20231020_2-M3_20h_HL,global_min_5s,27.46755599975586,36.73406982421875,384,19,0,365,6,18.0,29.0,35.0,42.0,49.0,60,34.80821917808219
20231020_2-M3_20h_HL,per_ts_3s,19.088275909423828,29.24994468688965,384,19,0,365,10,24.2,36.0,45.0,54.0,61.80000000000001,73,44.26027397260274
20231020_2-M3_20h_HL,per_ts_5s,27.393535614013672,41.986488342285156,384,19,0,365,7,18.0,28.0,35.0,42.0,49.80000000000001,60,34.76712328767123
20231021_2-M4_20h_ML,global_min_3s,17.920677185058594,24.689489364624023,384,19,1,365,2,14.0,24.0,38.0,45.0,53.0,131,35.4
20231021_2-M4_20h_ML,global_mean_3s,17.920677185058594,24.689489364624023,384,19,0,365,10,24.0,38.0,53.0,63.0,73.0,185,50.83561643835616
20231021_2-M4_20h_ML,global_min_5s,25.82967758178711,35.97814178466797,384,20,1,364,2,9.0,17.0,28.0,35.0,42.0,103,26.87912087912088
20231021_2-M4_20h_ML,per_ts_3s,17.157888412475586,28.331684112548828,384,19,0,365,3,13.0,24.0,37.0,45.0,52.80000000000001,131,34.912328767123284
20231021_2-M4_20h_ML,per_ts_5s,24.53449821472168,41.15597915649414,384,20,1,364,2,8.0,17.0,28.0,35.0,41.0,102,26.494505494505493
20231023_2-M6_2h-2h,global_min_3s,18.161724090576172,27.027992248535156,384,19,1,365,1,9.0,16.0,20.0,25.0,38.0,51,21.46027397260274
20231023_2-M6_2h-2h,global_mean_3s,18.161724090576172,27.027992248535156,384,19,0,365,12,23.2,33.0,39.0,46.0,60.80000000000001,80,39.99178082191781
20231023_2-M6_2h-2h,global_min_5s,26.220048904418945,39.430519104003906,384,22,5,362,1,5.0,10.0,14.0,19.0,31.0,39,15.353591160220995
20231023_2-M6_2h-2h,per_ts_3s,16.761184692382812,27.489913940429688,384,19,0,365,3,10.0,17.0,22.0,27.0,40.0,53,22.797260273972604
20231023_2-M6_2h-2h,per_ts_5s,24.335914611816406,39.67442321777344,384,20,6,364,1,5.0,10.75,15.0,20.0,32.0,41,16.07967032967033
20231024_3-M1_1min-1min,global_min_3s,18.860389709472656,26.93490982055664,384,26,1,358,1,9.700000000000003,21.0,26.0,31.0,37.14999999999998,53,25.558659217877096
20231024_3-M1_1min-1min,global_mean_3s,18.860389709472656,26.93490982055664,384,25,0,359,8,24.900000000000002,34.0,40.0,47.0,58.0,76,40.278551532033426
20231024_3-M1_1min-1min,global_min_5s,27.205677032470703,39.40450668334961,384,32,6,352,1,7.0,15.0,19.0,23.0,29.44999999999999,39,18.661931818181817
20231024_3-M1_1min-1min,per_ts_3s,17.48839569091797,30.54823875427246,384,26,1,358,1,9.700000000000003,21.0,26.0,31.0,37.0,52,25.477653631284916
20231024_3-M1_1min-1min,per_ts_5s,25.404319763183594,44.60533905029297,384,31,7,353,1,7.0,15.0,19.0,23.0,29.399999999999977,40,18.951841359773372
20231025_3-M2_20h_HL,global_min_3s,21.389732360839844,26.8836669921875,384,25,0,359,10,29.900000000000002,38.0,44.0,48.0,56.0,71,42.977715877437326
20231025_3-M2_20h_HL,global_mean_3s,21.389732360839844,26.8836669921875,384,25,0,359,23,43.0,54.0,61.0,68.0,80.0,95,60.64066852367688
20231025_3-M2_20h_HL,global_min_5s,30.090473175048828,38.60076904296875,384,26,0,358,5,20.85,29.0,34.0,37.0,43.0,56,33.13966480446928
20231025_3-M2_20h_HL,per_ts_3s,19.832021713256836,32.733970642089844,384,25,0,359,11,29.900000000000002,39.0,44.0,48.5,57.0,70,43.44289693593315
20231025_3-M2_20h_HL,per_ts_5s,28.093427658081055,46.18473815917969,384,26,0,358,6,21.700000000000003,30.0,35.0,38.0,43.0,56,33.68156424581006
20231026_3-M3_20h_ML,global_min_3s,20.38015365600586,27.608074188232422,384,23,0,361,9,27.0,39.0,45.0,52.0,61.0,71,44.8393351800554
20231026_3-M3_20h_ML,global_mean_3s,20.38015365600586,27.608074188232422,384,23,0,361,20,43.0,53.0,61.0,70.0,84.0,96,61.742382271468145
20231026_3-M3_20h_ML,global_min_5s,28.89274024963379,39.4035530090332,384,23,0,361,4,20.0,31.0,36.0,41.0,48.0,56,35.54570637119114
20231026_3-M3_20h_ML,per_ts_3s,19.14727020263672,33.72696304321289,384,23,0,361,9,29.0,39.0,46.0,52.0,61.0,73,45.35180055401662
20231026_3-M3_20h_ML,per_ts_5s,27.104860305786133,47.63866424560547,384,23,0,361,4,20.0,31.0,36.0,41.0,48.0,56,35.4404432132964
20231027_3-M4_2h-2h,global_min_3s,17.733943939208984,26.27193832397461,384,29,1,355,2,9.7,19.0,24.0,28.0,35.0,43,23.295774647887324
20231027_3-M4_2h-2h,global_mean_3s,17.733943939208984,26.27193832397461,384,27,1,357,1,23.0,35.0,41.0,47.0,55.0,68,40.602240896358545
20231027_3-M4_2h-2h,global_min_5s,25.437110900878906,38.13875961303711,384,31,4,353,1,5.600000000000001,13.0,18.0,21.0,27.0,33,16.88385269121813
20231027_3-M4_2h-2h,per_ts_3s,16.50330352783203,27.26321792602539,384,29,1,355,2,10.0,20.0,25.0,30.0,37.0,45,24.75211267605634
20231027_3-M4_2h-2h,per_ts_5s,23.723194122314453,39.6760368347168,384,31,2,353,1,6.0,14.0,19.0,23.0,29.0,35,18.25212464589235
20231029_3-M6_30s-30s,global_min_3s,20.169410705566406,28.78928565979004,384,27,0,357,13,26.0,35.0,41.0,47.0,54.19999999999999,69,40.896358543417364
20231029_3-M6_30s-30s,global_mean_3s,20.169410705566406,28.78928565979004,384,26,1,358,1,42.85,51.0,60.0,68.0,80.14999999999998,100,59.832402234636874
